number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
EDUC 275-01,10251,"Outdoor Environmental Education in Theory, Policy and Practice",M W,01:10 pm-02:10 pm,OLRI 243,Jerald Dosch,0 / 15,"This course provides an introduction to outdoor education as an opportunity to promote social justice and environmental sustainability in a globalized world.  Informed by relevant philosophical, psychological, cultural and political-economic frameworks, in addition to critical issues in public education policy and practice, we will explore interdisciplinary approaches to outdoor environmental education appropriate for students across the K-12 continuum.  We will utilize the Katharine Ordway Natural History Study Area (Ordway Field Station) as an outdoor classroom and will adapt curriculum from the Minnesota Department of Natural Resources (DNR) and other outdoor education organizations to assist elementary school teachers and students in fulfilling Minnesota K-12 Academic Standards. Early in the semester, all students will participate in a weekend retreat at the Ordway Field Station. Weekly lab sessions will include field days during which course members design and implement educational experiences for elementary school children at Ordway, small group work days for preparing field day lesson plans, trips to local outdoor environmental education sites within the Twin Cities, and other experiential learning opportunities.  Weekly seminar sessions incorporating readings, reflective writing, and individual and small group projects complement the experiential aspects of the course. As the semester progresses, each course member will develop a curricular unit aimed at teaching an important environmental issue to diverse adolescents attending urban public schools.  The curricular unit is a significant undertaking that provides students with the opportunity to synthesize all aspects of the course material in a creative, pragmatic and integrative manner.",
EDUC 275-L1,10254,Outdoor Environmental Educ Lab,F,01:10 pm-04:30 pm,OLRI 243,Jerald Dosch,0 / 15,"This course provides an introduction to outdoor education as an opportunity to promote social justice and environmental sustainability in a globalized world.  Informed by relevant philosophical, psychological, cultural and political-economic frameworks, in addition to critical issues in public education policy and practice, we will explore interdisciplinary approaches to outdoor environmental education appropriate for students across the K-12 continuum.  We will utilize the Katharine Ordway Natural History Study Area (Ordway Field Station) as an outdoor classroom and will adapt curriculum from the Minnesota Department of Natural Resources (DNR) and other outdoor education organizations to assist elementary school teachers and students in fulfilling Minnesota K-12 Academic Standards. Early in the semester, all students will participate in a weekend retreat at the Ordway Field Station. Weekly lab sessions will include field days during which course members design and implement educational experiences for elementary school children at Ordway, small group work days for preparing field day lesson plans, trips to local outdoor environmental education sites within the Twin Cities, and other experiential learning opportunities.  Weekly seminar sessions incorporating readings, reflective writing, and individual and small group projects complement the experiential aspects of the course. As the semester progresses, each course member will develop a curricular unit aimed at teaching an important environmental issue to diverse adolescents attending urban public schools.  The curricular unit is a significant undertaking that provides students with the opportunity to synthesize all aspects of the course material in a creative, pragmatic and integrative manner.",
EDUC 294-01,10209,Mental Health and Well-Being in US Schools,T R,01:20 pm-02:50 pm,OLRI 241,Tina Kruse, Closed 4 / 24,"Mental health and wellbeing among school-aged youth in the US has been generally declining in recent decades. The effects of the Covid-19 pandemic and related school modifications have exacerbated this crisis within schools. How can teachers and school support services effectively prevent or reduce the negative effects of mental health problems? How does the system of education contribute to emotional, behavioral, and mental disorders? How does this system add to disparities in educational outcomes among students who have been marginalized based on their identities? This course will examine both the educational systems and policies that affect student mental health and the individual-level practices that can intervene toward wellbeing. Students will engage with psychological theory, research examples, and educational practitioners throughout the course.",
EDUC 380-01,10210,Research Methods for Educ/Adv,T R,01:20 pm-02:50 pm,OLRI 301,Gonzalo Guzmán,12 / 24,"This course provides opportunities for students to engage with research methods that promote inclusive, egalitarian, exploratory social inquiry aimed at enriching the quality of learning and life in schools and civic spaces. Pedagogical in addition to formal research applications are addressed, as are implications for development and change on personal to organizational to societal levels. Ethical dimensions of engaging children and youth, in schools and community settings, as research participants and as researchers, are also carefully considered.",
EDUC 390-01,10211,Teaching and Learning in Urban Schools,M,07:00 pm-10:00 pm,ARTCOM 202,Jonathan Hamilton,12 / 18,"This course builds on prior learning in Educational Studies to deepen understanding of both the challenge and potential of teaching in urban schools. Focal topics include exploration of ""best practices"" for teaching children and youth in poverty, special needs students, and English Language Learners, including the impact of cultural, economic, and family structures on their school experience. We will consider the evaluation, placement, appropriate accommodations, and methods of instruction and assessment for diverse urban students possessing a broad range of academic interests and aptitudes and varied forms of exceptionality. The course is grounded in a field experience (30 hour minimum) engaging students in learning from and contributing to a local urban classroom at the grade level/subject matter area of their choice. The course culminates in the design of a curricular unit that reflects instruction aimed at higher order cognition and holistic child development. Course reserved for Educational Studies majors (Teaching/Learning Emphasis). Prerequisite(s): Permission of instructor.","Writing WP
                    U.S. Identities and Differences"
EDUC 460-01,10212,Education and Social Change,M W F,02:20 pm-03:20 pm,HUM 102,Brian Lozenski,7 / 12,"This course explores the question: How can we educate to promote change toward more just, compassionate, and sustainable approaches to living and learning in a rapidly changing and increasingly complex world? We will consider contemporary barriers to and opportunities for systemic, progressive education reform and civic renewal on local, national and international levels. We will then work both individually and collectively, on campus and in the community, to analyze specific social issues and reform strategies in addition to conceptualizing plans for principled social action. Prerequisite(s): Permission of department chair.",
ENGL 105-01,10213,Identities and Differences in U.S. Literature: Intro to Asian American Literature,M W F,01:10 pm-02:10 pm,MAIN 009,Michael Prior, Closed -1 / 20,"This course will focus on some of Asian American Literature’s salient texts and recurring themes. Through readings and class discussion, we will explore issues of ethnicity, race, gender, and community in the work of authors like Jhumpa Lahiri, Maxine Hong Kingston, Celeste Ng, Chang-Rae Lee, and Ocean Vuong, among others. We will also examine the political formation of the term “Asian American;” question narratives like the “model minority;” and consider how news media, pop culture, and the publishing industry have played a role in shaping the production and reception of Asian American writing. Class events will include guest lectures from Asian American authors with recently published books.","Writing WA
                    U.S. Identities and Differences"
ENGL 105-02,10214,Identities and Differences in U.S. Literature: LGBTQ2S+ Literature,T R,03:00 pm-04:30 pm,CARN 305,Rachel Gold,2 / 20,"This introductory English course covers lesbian, gay, bisexual, transgender, queer and Two Spirit literature in America. We will examine how American culture and politics have shaped and been shaped by LGBTQ2S+ writing and art. We will look at historical texts that helped to create queer and trans identities in America and appreciate intersections of race, ethnicity, and class as we move into current work. And we'll explore what it means to queer a text, a life and a culture. Requirements include written responses to reading, two 5-7 page essays and a final project with a live presentation. Authors we’ll read include: Charles Brockden Brown, Jewelle Gomez, James Baldwin, Audre Lorde, Qwo-Li Driskill, Gloria Anzaldúa, Allison Bechdel, Charlie Jane Anders, Malinda Lo, Kai Cheng Thom, Tommy Pico, and Junauda Petrus.","Writing WP
                    U.S. Identities and Differences"
ENGL 105-03,10992,Identities and Differences in U.S. Literature,T R,09:40 am-11:10 am,HUM 215,Rachel Gold,1 / 20,"This introductory English course covers lesbian, gay, bisexual, transgender, queer and Two Spirit literature in America. We will examine how American culture and politics have shaped and been shaped by LGBTQ2S+ writing and art. We will look at historical texts that helped to create queer and trans identities in America and appreciate intersections of race, ethnicity, and class as we move into current work. And we'll explore what it means to queer a text, a life and a culture. Requirements include written responses to reading, two 5-7 page essays and a final project with a live presentation. Authors we’ll read include: Charles Brockden Brown, Jewelle Gomez, James Baldwin, Audre Lorde, Qwo-Li Driskill, Gloria Anzaldúa, Allison Bechdel, Charlie Jane Anders, Malinda Lo, Kai Cheng Thom, Tommy Pico, and Junauda Petrus.","Writing WP
                    U.S. Identities and Differences"
ENGL 125-F1,10215,"Studies in Literature: Ecstasy and the Apocalypse, Literature of the Extreme",T R,09:40 am-11:10 am,CARN 05,Daylanne English,0 / 17,"In this discussion-based first-year course, we will study how literature represents extreme human experiences, both joyful and miserable. As we closely read a wide range of works, we will ask ourselves aesthetic and ethical questions: Must literary form stretch to represent the extreme? Must artists, musicians, and writers invent new forms when faced with unprecedented traumas, including pandemic and climate change? How might literature help us to understand the end of a world, or a people, or a way of life? Might literature also help us imagine a future in these seemingly apocalyptic times? How might it offer us understanding and solace, even joy, in the present? We will read primarily fiction, along with poetry, nonfiction and a graphic narrative, to investigate whether other genres and modes work differently at, and with, the extreme. We will also view films and listen to music to discover whether other media may offer alternative, and possibly better, ways to represent ecstasy and apocalypse. Texts, among others, may include: A Handmaid’s Tale, MAUS, Life on Mars, Parable of the Talents, The Book of Delights, and Silent Spring.",Writing WA
ENGL 137-01,10216,Novel,T R,01:20 pm-02:50 pm,HUM 213,James Dawes,2 / 20,"In this course we will read some of the most popular novels ever written in the United States. They will be heart-wrenchingly beautiful, tear-jerkingly sad, gut-bustingly funny, and seriously weird. We will discuss love, death, the meaning of life, cruelty, beauty, loneliness, war, and comedy.",Writing WA
ENGL 150-01,10218,Introduction to Creative Writing,M W F,03:30 pm-04:30 pm,MAIN 010,Michael Prior, Closed 2 / 16,"In this course, we will explore and develop the foundational skills of creative writing. We will hone our craft and build a respectful writing community through a series of creative exercises, close reading assignments, and workshops, where we will have the opportunity to share and receive feedback on our own drafts. Over the semester, we will read and discuss poems, stories, and creative nonfiction from a diverse group of published authors, focusing on what we might learn from their approaches to the page, while asking how, among so many unique voices, we might cultivate our own.",Writing WC
ENGL 150-02,10219,Introduction to Creative Writing,M W F,10:50 am-11:50 am,MAIN 002,Peter Bognanni,0 / 16,"In this course we will dive right into the study of creative writing by reading and writing poetry, flash fiction, short stories, and personal essays. We will study how published authors craft their pieces, how they convey sensation and emotion, and how they artfully tell a story. Along the way, you’ll try your hand at each literary form we study. This is the basic template you can expect on a day-to-day basis. But, beyond this relatively simple pattern, what I hope will happen this term is that you’ll lose yourself to the daring act of creating literature. I hope you’ll disappear into what John Gardener calls the “vivid and continuous dream.” I hope you’ll use your growing knowledge of writing technique and literary history to say something fearless and artful about the world around you. And I hope you will see that what you write matters. Great creative writing aspires to more than just a pleasant diversion from life. At its best, it directly engages with life and even tries to change it. We look to stories, poems, and essays to give us an experience in language that we’ve never had before, to deepen our knowledge of the world, and to allow us into the hearts and minds of others. I hope this semester will be a window into that experience for you.",Writing WC
ENGL 150-03,10220,Introduction to Creative Writing,M W F,12:00 pm-01:00 pm,CARN 05,Aurora Masum-Javed, Closed 1 / 16,"Writing can be a terrifying, vulnerable act. Whether we’re investigating our own lives or digging into the depths of a character, writing well requires risk. In this course, we will create and explore through poetry, fiction, and personal essays. We will learn to get lost, to ask the hardest questions. The first half of the semester will focus on generative experiments. We’ll play with different ways of approaching the page and the writing process. We might write one line a day or try to write an entire story in an hour. The second half of the semester, we’ll learn to revise and offer feedback. Editing and redrafting can lead to unexpected awakenings. Often in revising work, we also revise how we see ourselves and our world. We will begin workshopping with the aim of pushing each other to ask deeper questions and to honor and strengthen the heart of a piece. You will leave this class with a stack of drafts and hopefully a better sense of yourself as a person and as a writer.",Writing WC
ENGL 150-04,10221,Introduction to Creative Writing,T R,03:00 pm-04:30 pm,MAIN 002,Emma Torzs,2 / 16,"Writing, whether in the form of a story, a poem, or a late-night email begging your professor for an extension, is always a creative act. Words arranged on a page create meaning, and in this class we will examine and practice certain authorial choices that go into creative meaning-making. We will do this mainly through the lenses of poetry and fiction, reading widely and carefully with an eye to explore what choices the authors make, and to what end. Essentially, we will be asking over and over what makes a reader feel, experience, and understand. By the end of the semester I hope you'll feel confident with your new toolbox of tricks n skills, and empowered in your creative work to a) Say what you mean to say, b) How you mean to say it, c) With the desired emotional impact.",Writing WC
ENGL 150-05,10222,Introduction to Creative Writing,M W F,09:40 am-10:40 am,MAIN 002,James Dawes,2 / 16,"This course is an introduction to the writing of fiction, nonfiction, and poetry.  We will use a variety of exercises, assignments, and readings to help students become comfortable as writers of short stories, personal essays, poetry, memoir, and literary journalism. We will workshop each other’s writing in a supportive, constructively critical manner.",Writing WC
ENGL 150-06,10997,Introduction to Creative Writing,W,07:00 pm-10:00 pm,MAIN 111,Melissa Cundieff,-1 / 16,"This workshop-based course focuses on the development of skills for writing poetry, short fiction, and/or creative nonfiction through a close study of the techniques involved in these forms, analysis of model literary works, and frequent writing exercises that will be workshopped. This course must be completed at Macalester as a PREREQUISITE for the further study of creative writing at Macalester.",Writing WC
ENGL 150-F1,10217,Introduction to Creative Writing,M W F,09:40 am-10:40 am,THEATR 201,Matt Burgess,0 / 17,"This course will focus on the basic elements of creative writing. Students will be asked to read and discuss published work by writers across a wide range of cultures, to support one another through peer workshops, and to write multiple drafts of short fiction, poetry, and creative nonfiction. Throughout the semester our focus will be on creating an artistic community that encourages everyone to discover and nurture their own individual creative voice, and then to express that voice with force and conviction.",Writing WC
ENGL 194-01,10825,The Language and Literature of Medieval Wales,T R,03:00 pm-04:30 pm,THEATR 001,Coral Lumbley,0 / 20,"J.R.R. Tolkien had a “secret vice”: creating imaginary languages based on medieval languages. Come learn how Tolkien drew on the Welsh language and medieval Welsh literature to craft the world of Middle-Earth and the language of the Elves. As we read our way through medieval Wales, we will encounter sorcerer-bards, goddesses, magical treasures, and mysterious creatures (who are rarely what they seem). Studying the basics of the Welsh language will allow us to be enchanted by the strange and poignant stories of the Mabinogion, the Book of Taliesin, and the Book of Aneirin. By the end of the course, we will see why Tolkien believed Welsh to be one of the most beautiful languages in the world.",
ENGL 208-01,10223,Literary Publishing,T R,01:20 pm-02:50 pm,HUM 228,Steven Woodward,5 / 20,"To the average reader, the field of publishing can seem somewhat opaque. How does a novel go from scribbled notes to finished paperback? What goes into editing, printing, and marketing a short story collection? This course will shed light on this exciting field through a combination of readings, talks with publishing professionals, in-class discussion, and hands-on work. We will learn about publishing by tracing the literary work through the processes of acquisition, editing, production, marketing, and publicity, and into the hands of the reader. Additional topics will include recent trends in technology, book editing, book reviewing, and the roles of the literary agent, and the independent publisher. We will take advantage of the extraordinary publishing resources in the Twin Cities and beyond through guest speakers. Assignments will include writing query letters and catalog copy, presenting publisher profiles, editing a short story, and writing a final paper on publishing issues. This course is designed for readers who want to know how the book they’re holding got into their hands, for writers who want to know what happens when they send their manuscripts to publishers, and for those interested in publishing as a future career.",
ENGL 275-01,10224,African American Literature to 1900,T R,01:20 pm-02:50 pm,CARN 05,Daylanne English,1 / 20,"In this course, we will study African American literature from the end of the 18th century to the turn of the 20th century, from Phillis Wheatley to Frederick Douglass to Ida B. Wells. Themes of the course include: reading and writing as subversive acts, representation of gendered and classed experiences of Blackness, and literary production and innovation as agents of political and social change. We will also connect the crises surrounding Black citizenship in the United States, so often represented by African American writers before 1900, to the present, honoring these early writers’ ongoing legacy of national critique and Black solidarity. We will also foreground early African American literature as art, as an at once aesthetic and political project, reading it closely and appreciatively. Requirements include: brief written responses to the readings, a presentation, a medium-length essay and a revision of it, and a final reflection essay. This course fulfills the English major requirement either of a course focused on literature by U.S. writers of color or a course on 19th-century American literature.","Writing WA
                    U.S. Identities and Differences"
ENGL 284-01,10225,Crafts of Writing: Screenwriting,M W F,12:00 pm-01:00 pm,MAIN 002,Peter Bognanni, Closed 0 / 16,"When we watch movies and TV shows, it’s hard sometimes to remember how these works are actually born. Before the actors say a word, or the post production team adds that perfect shade of pink to the sunset, a film or television show lives solely on the page. It lives as a piece of writing created in the mind of a storyteller. No matter what happens later, it always begins as a reading experience. In this course, we will concentrate on every aspect of that initial and vital stage of creating visual stories. We will study produced scripts to see how they master visual storytelling, pitch perfect dialogue, and satisfying structure. While there is no paint-by-numbers formula for a perfect screenplay or teleplay, there is a constantly evolving form full of principles the greatest writers have relied on since the birth of these mediums. Throughout the semester we will study this form in depth then we will workshop your developing scripts with an eye toward making them ideal stories for the screen, both large and small.",Writing WC
ENGL 285-01,10690,Playwriting,M W F,03:30 pm-04:30 pm,THEATR 213,C. Meaker,0 / 12,"In this course, students engage in a series of playwriting exercises and read a wide variety of plays. They will read new and contemporary plays that employ different storytelling techniques (i.e., structure, character arcs, staging elements, etc.), embrace the unlimited possibilities of theatricality, and exemplify why we write for the stage. Students will develop a ""playwriting toolkit"" as they explore their artistic interests following the conventions of time-bound pieces: the 1-minute, 5-minute, 10-minute, and ultimately one-act form. In-class exercises and prompts, and small-group workshopping and reading will challenge each writer's individual development. A mid-term and final play reading series of one-acts will allow students to hear their work in a supportive public setting. May be repeated for credit. Prerequisite(s): Coursework in Theater and Dance, or in creative writing is recommended.",Writing WC
ENGL 285-02,10692,Playwriting,T R,03:00 pm-04:30 pm,THEATR 213,Cristina Luzarraga,8 / 12,"In this course, students engage in a series of playwriting exercises and read a wide variety of plays. They will read new and contemporary plays that employ different storytelling techniques (i.e., structure, character arcs, staging elements, etc.), embrace the unlimited possibilities of theatricality, and exemplify why we write for the stage. Students will develop a ""playwriting toolkit"" as they explore their artistic interests following the conventions of time-bound pieces: the 1-minute, 5-minute, 10-minute, and ultimately one-act form. In-class exercises and prompts, and small-group workshopping and reading will challenge each writer's individual development. A mid-term and final play reading series of one-acts will allow students to hear their work in a supportive public setting. May be repeated for credit. Prerequisite(s): Coursework in Theater and Dance, or in creative writing is recommended.",Writing WC
ENGL 286-01,10226,Narrative Journalism,W,07:00 pm-10:00 pm,MAIN 009,Curtis Gilbert, Closed 3 / 16,"This creative nonfiction course will focus on the elements of long-form narrative journalism, including both print and audio storytelling. Students will learn to write stories that are clear and compelling as well as factual and precise. They will study the differences between writing for the eye and the ear. Students will learn how to identify strong story ideas, conduct interviews and structure a narrative for maximum impact. They will also write frequently, edit each other, and receive detailed suggestions on their writing from the instructor. This course will be taught by audio journalist and Macalester alumnus Curtis Gilbert ’02. Curtis works for APM Reports, a national investigative reporting group based at American Public Media. He recently led a year-long collaboration between three news organizations that resulted in the seven-part podcast series Sent Away.",
ENGL 294-01,10227,Video Games: Narrative and Coding,T R,09:40 am-11:10 am,OLRI 241,"Dawes, Jackson",0 / 20,"Videogames dominate entertainment culture. But like all popular forms of entertainment, they are often looked down upon as aesthetically superficial, intellectually uncomplicated, and somehow bad for you. They are “just pop culture.” Like Shakespeare was in his time. Like the novel was when it was invented. And like film and television shows were when they were invented. This course takes seriously the deep intellectual and aesthetic value of videogames and of videogame making. Videogames are expanding the possibilities and the borders of storytelling and narrative design. They are pushing the limits of coding wizardry. They have also become one of the most creative popular-cultural sites for experimenting with and understanding other minds and identities. In this class, students will work in interdisciplinary teams to bring world-building narrative techniques to an immersive visual setting while exploring technical challenges involved in programming and game development through hands-on projects. Fill out the interest survey to request permission: https://forms.gle/GH8YAJZ4hhkJqLe28. Prerequisite: COMP127 (COMP225 recommended)",
ENGL 294-02,10229,Crafts of Writing: Poetic Memory,M W F,03:30 pm-04:30 pm,CARN 105,Aurora Masum-Javed, Closed 0 / 16,"Where do our memories reside? Our collective memories, our shattered memories, our forgotten? How do we gather that which has been torn or forcefully buried? How do we hold memory or its absence in our language? This advanced poetry course will center on the movements of memory—how it haunts, fades, blurs, comforts, distorts; how it reaches for us, and how we reach back. We will read both prose (memoir and fiction) as well as poetry in order to write towards all that we can and cannot remember.",Writing WC
ENGL 294-03,10230,Great Detectives and the Plots of Detection,M W F,10:50 am-11:50 am,CARN 05,Andrea Kaston Tange, Closed 1 / 20,"A great detective story is arguably one of the most interactive of genres, as it pulls on the reader to step into the world of the mystery and try to solve it alongside the investigators who people the pages. This course traces evolutions in the genre, from 19th-century icons like Sherlock Holmes through early-20th-century hardboiled detectives and into very contemporary fiction. We’ll consider professional and amateur detectives, read authors as wide-ranging as Agatha Christie, Dashiell Hammett, and Colson Whitehead, watch at least two films (including 1934’s The Thin Man, featuring the delightful Nick and Nora Charles), and read one novel in serial installments all semester long. We will explore how detective characters are rooted in the cultural moments of their creation, what kinds of fans different detectives produce, and read some short pieces about the genre by some its greatest writers. The course will emphasize the pleasures of reading (Cliffhangers! Clues! Misdirection!) and what we can learn from thinking hard about what is so satisfying about a great mystery, adeptly solved. Coursework will be wide-ranging and playful, and may include creative as well as critical assignments, or research filtered through the lens of detection.",Writing WA
ENGL 294-04,10231,Crafts of Writing: Adventures Across Genre,T R,01:20 pm-02:50 pm,MAIN 002,Emma Torzs,6 / 16,"Go into almost any bookstore and you’ll find a similar method of organizing books: by genre. Rows of romance novels in one corner, thick tomes of fantasy and science fiction in another, young adult fiction over by the children’s books. But how do booksellers, librarians, readers and writers determine what genre a piece of fiction falls into? In this class, we will read novels and short stories in five popular genres – literary realism, fantasy, science fiction, mystery/crime, and romance – while trying our own writerly hands at each of them. We’ll discuss expectations of culture, market, and readership, and journey through the histories and political implications of each category to understand the present state. Writers we study might include Toni Morrison, J.R.R. Tolkien, Octavia Butler, Miciah Johnson and more. Prerequisite of ENGL 150.",Writing WC
ENGL 294-05,10232,Crafts of Writing: Building Poetic Worlds,M,07:00 pm-10:00 pm,MAIN 010,Aurora Masum-Javed, Closed 1 / 16,"In this course, we'll be reading poetry collections that navigate unexpected worlds--one in an imagined future where humanity has been taken over by octopuses, another in an imagined occupied territory where deafness is a form of dissent. Throughout the semester, we will be creating our own long-form poetry projects. We will borrow the tools of fiction, world-building, and playwriting in order to develop our own poems. This class is for writers hoping to bend the expectations of genre and create something altogether new. Prerequisite of ENGL 150.",Writing WC
ENGL 294-06,10824,Reading Along the Silk Roads,T R,01:20 pm-02:50 pm,THEATR 001,Coral Lumbley,3 / 20,"Centuries before the advent of industrialized travel, the Silk Roads connected creators and consumers between China, West Africa, and Iceland. Travelers recorded their experiences and encounters in a range of literary forms and left their legacies imprinted in archaeological records. This course invites students to read along the Silk Roads, tracing medieval encounters made possible by these remarkable networks. Texts may include the Ibn Fadlan’s account of his encounter with the Rus, the Ibn Battuta’s account of his travels in Africa, Wu Cheng’en’s novel Journey to the West, Du Fu’s lyric poetry, Basho’s haiku, Marco Polo’s Description of the World, William of Rubruck’s Itinerary, John de Mandeville’s Travels, and the Saga of the Greenlanders. In addition, the class will incorporate studies of material culture, include local collections and artifacts of the exhibits Hidden Stories: Books Along the Silk Roads (Aga Khan Museum), Caravans of Gold, Fragments in Time: Art, Culture, and Exchange across Medieval Saharan Africa, (Aga Khan Museum), and Sahel: Art and Empires on the Shoes of the Sahara (Metropolitan Museum of Art).",Internationalism
ENGL 294-07,10838,"Revolution, Repression, and Resistance: Soviet and Post-Soviet Literature and Culture",M W F,02:20 pm-03:20 pm,HUM 302,Julia Chadaga,0 / 20,"In times of revolution and repression, Soviet writers and artists turned their work into a forceful means of resistance; dissidents today draw inspiration from these courageous predecessors who risked their lives to speak. In this course, we will explore the literature, visual art, music, and films created in Russia and the surrounding region from the Soviet period into the present day. We start with the political and artistic revolutions in the final days of imperial Russia, then move through the eras of the bloody Bolshevik revolution, the repressive Stalinist regime, and the devastation of World War II. Next, we look at the cultural thaw of the 1960s, the new freedoms of the perestroika era, and the fall of the Soviet Union. We then turn our attention to contemporary Russia under Putin. We will examine cultural texts in their artistic, social, and political contexts, seeking to better understand Russia’s relationship with the West, the experience of ethnic minorities in the Soviet and post-Soviet period, and Russia’s history of authoritarianism, as well as the struggle against it. Studying culture produced in Russia and the region in the Soviet and post-Soviet period will help us to empathize with those who lived through that tumultuous era and kept creative expression alive in the midst of unimaginable hardships. We will also be attentive to the contemporary situation in the wake of Putin’s war of aggression against Ukraine, which has changed global dynamics so profoundly. We will use our course materials to shed light on current events in the post-Soviet sphere, striving to understand how we got here and what hope there might be for the future.  This course will include a group project with the aim of supporting refugees displaced by Russia’s war on Ukraine. All readings and discussion will be in English; no previous knowledge of Russian literature or history is required.","Writing WP
                    Internationalism"
ENGL 294-08,10917,Great Detectives and the Plot of Detection,M W F,02:20 pm-03:20 pm,MAIN 111,Andrea Kaston Tange, Closed 1 / 20,"A great detective story is arguably one of the most interactive of genres, as it pulls on the reader to step into the world of the mystery and try to solve it alongside the investigators who people the pages. This course traces evolutions in the genre, from 19th-century icons like Sherlock Holmes through early-20th-century hardboiled detectives and into very contemporary fiction. We’ll consider professional and amateur detectives, read authors as wide-ranging as Agatha Christie, Dashiell Hammett, and Colson Whitehead, watch at least two films (including 1934’s The Thin Man, featuring the delightful Nick and Nora Charles), and read one novel in serial installments all semester long. We will explore how detective characters are rooted in the cultural moments of their creation, what kinds of fans different detectives produce, and read some short pieces about the genre by some its greatest writers. The course will emphasize the pleasures of reading (Cliffhangers! Clues! Misdirection!) and what we can learn from thinking hard about what is so satisfying about a great mystery, adeptly solved. Coursework will be wide-ranging and playful, and may include creative as well as critical assignments, or research filtered through the lens of detection.",Writing WA
ENGL 387-01,10233,International Storytelling,M W F,02:20 pm-03:20 pm,MAIN 002,Matt Burgess, Closed 2 / 16,"What makes a good story? Your answer to that question may depend on where you’re from, or when you were born, or the stories your grandmother heard when she was growing up. In this creative writing workshop course, we will explore narrative structures across a variety of time periods and cultures. Throughout, our goal as a class will be to expand our understanding of how stories can be told. By the end of the semester, every student will have written multiple drafts of two original works of short fiction.",Internationalism
ENGL 394-01,10234,Race and the Victorians,W,07:00 pm-10:00 pm,MAIN 010,Andrea Kaston Tange,5 / 20,"It is perhaps easiest to think of race in the nineteenth century in terms of the colonizing projects of empire. In fact, however, leisure travel, the growth of industrial capitalism and globalization, and new models of class hierarchies and notions of gender all gained strength in the nineteenth century in part through their intersections with rhetorics of race. This course will interrogate notions of race as they were being invented—exploring how they were popularized and used to dominate, how they failed, and how they were resisted in 19th-century Britain. We will read canonical and non-canonical texts, including works by writers of color, visual images, scientific theories, fiction, and non-fiction. Considering locations throughout the British empire, we will explore intersections of race with the history of British slavery, colonial settlement, gender politics, enfranchisement, war, and religion. The class will also produce a collaborative digital final project: a full scholarly edition—including appendices, annotations, and a scholarly introduction—of a nineteenth-century text by a writer of color, to be chosen by the class. (Prior years have taken on the first novel by a Bengali novelist to be written in English and a travel narrative by a Hindu Brahmin touring through England and France.) Course may count for the 18th & 19th century British literature requirement or the Writers of Color requirement on the English major.",Writing WA
ENGL 394-02,10798,Philosophy of Language,T R,09:40 am-11:10 am,MAIN 111,Hannah Kim, Closed 3 / 20,"Language is magic: we can make noises at each other or make marks on a page and others can “see” what’s inside our minds! Language is even more magical when we consider its ability to do things: it can change people’s status (e.g. declaring someone a knight or husband/wife), harm others (e.g. using slurs), and turn literal falsehood into truths (e.g. metaphors or fiction) among others. In this class, you’ll be introduced to classic and contemporary topics surrounding language: how it is that words refer to objects, how context shapes meaning, how language and reality/thought are connected, and whether emoji and music are languages.",
ENGL 406-01,10236,Projects in Creative Writing,M W F,12:00 pm-01:00 pm,MAIN 003,Matt Burgess,7 / 12,"This capstone course has two fundamental goals. One: To help students work individually on a creative project of their own choosing, from the cultivation of an initial idea, to the further exploration of that idea through multiple drafts, and then finally to sending it out into the world as a “completed” project, which is to say a project that is “good enough for now.” Our second, equally important goal, is to work collectively to build a mutually supportive arts community dedicated to helping everyone achieve their best work.",
ENVI 150-F1,10237,Climate and Society,M W F,09:40 am-10:40 am,OLRI 243,Louisa Bradtmiller,1 / 17,"Seasonal and annual patterns of temperature and precipitation influence the development, success and collapse of civilizations. Regional climate determines numerous things about how humans adapt to survive there, including the type of shelter needed, the length of the growing season, and the availability/scarcity of freshwater. Using a combination of scientific and historical records, this course will provide a brief introduction to the climate system and will then focus on how changes in climate affected several societies throughout history. In the latter part of the course we will discuss observed global warming in the modern world, what the potential benefits and consequences of it may be, and whether or not there are lessons to be learned from our ancestors.","Writing WA
                    Quantitative Thinking Q1"
ENVI 160-01,10865,Dynamic Earth/Global Change,M W F,10:50 am-11:50 am,OLRI 100,Alan Chapman,9 / 48,This course provides an introduction to the materials and structure of the Earth and to the processes acting on and in the Earth to produce change. Emphasis is placed on the evolution of landforms and the formation of Earth resources. Discussions focus on the important role of geologic processes in the solution of environmental problems. Required for geology majors. Local field trips. Three hours lecture and two hours lab per week.,Quantitative Thinking Q2
ENVI 160-L1,10867,Dynamic Earth/Global Chg Lab,R,01:20 pm-04:30 pm,OLRI 187,Alan Chapman,-1 / 16,This course provides an introduction to the materials and structure of the Earth and to the processes acting on and in the Earth to produce change. Emphasis is placed on the evolution of landforms and the formation of Earth resources. Discussions focus on the important role of geologic processes in the solution of environmental problems. Required for geology majors. Local field trips. Three hours lecture and two hours lab per week.,
ENVI 160-L2,10868,Dynamic Earth/Global Chg Lab,T,08:00 am-11:10 am,OLRI 187,Jeffrey Thole,4 / 24,This course provides an introduction to the materials and structure of the Earth and to the processes acting on and in the Earth to produce change. Emphasis is placed on the evolution of landforms and the formation of Earth resources. Discussions focus on the important role of geologic processes in the solution of environmental problems. Required for geology majors. Local field trips. Three hours lecture and two hours lab per week.,
